Month,Year,Refinery,Quantity_000MT,Date
April,2024,"IOCL-BARAUNI,BIHAR",545.016,01-04-2024
May,2024,"IOCL-BARAUNI,BIHAR",548.748,01-05-2024
June,2024,"IOCL-BARAUNI,BIHAR",566.248,01-06-2024
July,2024,"IOCL-BARAUNI,BIHAR",585.922,01-07-2024
August,2024,"IOCL-BARAUNI,BIHAR",586.958,01-08-2024
September,2024,"IOCL-BARAUNI,BIHAR",485.732,01-09-2024
October,2024,"IOCL-BARAUNI,BIHAR",576.141,01-10-2024
November,2024,"IOCL-BARAUNI,BIHAR",569.051,01-11-2024
December,2024,"IOCL-BARAUNI,BIHAR",599.191,01-12-2024
January,2025,"IOCL-BARAUNI,BIHAR",543.603,01-01-2025
February,2025,"IOCL-BARAUNI,BIHAR",455.991,01-02-2025
March,2025,"IOCL-BARAUNI,BIHAR",450.657,01-03-2025
April,2024,"IOCL-KOYALI, GUJARAT",1290.767,01-04-2024
May,2024,"IOCL-KOYALI, GUJARAT",1326.322,01-05-2024
June,2024,"IOCL-KOYALI, GUJARAT",1300.029,01-06-2024
July,2024,"IOCL-KOYALI, GUJARAT",1351.865,01-07-2024
August,2024,"IOCL-KOYALI, GUJARAT",1342.543,01-08-2024
September,2024,"IOCL-KOYALI, GUJARAT",1315.614,01-09-2024
October,2024,"IOCL-KOYALI, GUJARAT",1356.925,01-10-2024
November,2024,"IOCL-KOYALI, GUJARAT",1318.246,01-11-2024
December,2024,"IOCL-KOYALI, GUJARAT",1317.773,01-12-2024
January,2025,"IOCL-KOYALI, GUJARAT",1315.571,01-01-2025
February,2025,"IOCL-KOYALI, GUJARAT",930.32,01-02-2025
March,2025,"IOCL-KOYALI, GUJARAT",1117.071,01-03-2025
April,2024,"IOCL-HALDIA, WEST BENGAL",656.298,01-04-2024
May,2024,"IOCL-HALDIA, WEST BENGAL",689.531,01-05-2024
June,2024,"IOCL-HALDIA, WEST BENGAL",672.644,01-06-2024
July,2024,"IOCL-HALDIA, WEST BENGAL",666.788,01-07-2024
August,2024,"IOCL-HALDIA, WEST BENGAL",283.855,01-08-2024
September,2024,"IOCL-HALDIA, WEST BENGAL",38.054,01-09-2024
October,2024,"IOCL-HALDIA, WEST BENGAL",364.325,01-10-2024
November,2024,"IOCL-HALDIA, WEST BENGAL",702.642,01-11-2024
December,2024,"IOCL-HALDIA, WEST BENGAL",747.231,01-12-2024
January,2025,"IOCL-HALDIA, WEST BENGAL",744.383,01-01-2025
February,2025,"IOCL-HALDIA, WEST BENGAL",641.585,01-02-2025
March,2025,"IOCL-HALDIA, WEST BENGAL",727.16,01-03-2025
April,2024,"IOCL-MATHURA, UTTAR PRADESH",859.672,01-04-2024
May,2024,"IOCL-MATHURA, UTTAR PRADESH",839.721,01-05-2024
June,2024,"IOCL-MATHURA, UTTAR PRADESH",845.114,01-06-2024
July,2024,"IOCL-MATHURA, UTTAR PRADESH",688.444,01-07-2024
August,2024,"IOCL-MATHURA, UTTAR PRADESH",589.305,01-08-2024
September,2024,"IOCL-MATHURA, UTTAR PRADESH",585.737,01-09-2024
October,2024,"IOCL-MATHURA, UTTAR PRADESH",41.683,01-10-2024
November,2024,"IOCL-MATHURA, UTTAR PRADESH",323.194,01-11-2024
December,2024,"IOCL-MATHURA, UTTAR PRADESH",874.386,01-12-2024
January,2025,"IOCL-MATHURA, UTTAR PRADESH",740.418,01-01-2025
February,2025,"IOCL-MATHURA, UTTAR PRADESH",790.154,01-02-2025
March,2025,"IOCL-MATHURA, UTTAR PRADESH",875.992,01-03-2025
April,2024,"IOCL-PANIPAT, HARYANA",1283.054,01-04-2024
May,2024,"IOCL-PANIPAT, HARYANA",1269.28,01-05-2024
June,2024,"IOCL-PANIPAT, HARYANA",1298.853,01-06-2024
July,2024,"IOCL-PANIPAT, HARYANA",1241.434,01-07-2024
August,2024,"IOCL-PANIPAT, HARYANA",1151.372,01-08-2024
September,2024,"IOCL-PANIPAT, HARYANA",1248.088,01-09-2024
October,2024,"IOCL-PANIPAT, HARYANA",1353.397,01-10-2024
November,2024,"IOCL-PANIPAT, HARYANA",1354.485,01-11-2024
December,2024,"IOCL-PANIPAT, HARYANA",1389.798,01-12-2024
January,2025,"IOCL-PANIPAT, HARYANA",1318.665,01-01-2025
February,2025,"IOCL-PANIPAT, HARYANA",1163.738,01-02-2025
March,2025,"IOCL-PANIPAT, HARYANA",1326.104,01-03-2025
April,2024,"IOCL-GUWAHATI,ASSAM",108.917,01-04-2024
May,2024,"IOCL-GUWAHATI,ASSAM",110.964,01-05-2024
June,2024,"IOCL-GUWAHATI,ASSAM",107.508,01-06-2024
July,2024,"IOCL-GUWAHATI,ASSAM",104.554,01-07-2024
August,2024,"IOCL-GUWAHATI,ASSAM",101.195,01-08-2024
September,2024,"IOCL-GUWAHATI,ASSAM",86.565,01-09-2024
October,2024,"IOCL-GUWAHATI,ASSAM",109.884,01-10-2024
November,2024,"IOCL-GUWAHATI,ASSAM",91.723,01-11-2024
December,2024,"IOCL-GUWAHATI,ASSAM",41.827,01-12-2024
January,2025,"IOCL-GUWAHATI,ASSAM",105.425,01-01-2025
February,2025,"IOCL-GUWAHATI,ASSAM",98.789,01-02-2025
March,2025,"IOCL-GUWAHATI,ASSAM",110.849,01-03-2025
April,2024,"IOCL-DIGBOI,ASSAM",64.893,01-04-2024
May,2024,"IOCL-DIGBOI,ASSAM",65.042,01-05-2024
June,2024,"IOCL-DIGBOI,ASSAM",63.447,01-06-2024
July,2024,"IOCL-DIGBOI,ASSAM",57.407,01-07-2024
August,2024,"IOCL-DIGBOI,ASSAM",68.373,01-08-2024
September,2024,"IOCL-DIGBOI,ASSAM",59.009,01-09-2024
October,2024,"IOCL-DIGBOI,ASSAM",71.024,01-10-2024
November,2024,"IOCL-DIGBOI,ASSAM",69.129,01-11-2024
December,2024,"IOCL-DIGBOI,ASSAM",63.095,01-12-2024
January,2025,"IOCL-DIGBOI,ASSAM",66.347,01-01-2025
February,2025,"IOCL-DIGBOI,ASSAM",60.173,01-02-2025
March,2025,"IOCL-DIGBOI,ASSAM",66.174,01-03-2025
April,2024,"IOCL-BONGAIGAON,ASSAM",244.486,01-04-2024
May,2024,"IOCL-BONGAIGAON,ASSAM",60.204,01-05-2024
June,2024,"IOCL-BONGAIGAON,ASSAM",217.61,01-06-2024
July,2024,"IOCL-BONGAIGAON,ASSAM",252.608,01-07-2024
August,2024,"IOCL-BONGAIGAON,ASSAM",236.846,01-08-2024
September,2024,"IOCL-BONGAIGAON,ASSAM",243.462,01-09-2024
October,2024,"IOCL-BONGAIGAON,ASSAM",253.93,01-10-2024
November,2024,"IOCL-BONGAIGAON,ASSAM",251.536,01-11-2024
December,2024,"IOCL-BONGAIGAON,ASSAM",260.036,01-12-2024
January,2025,"IOCL-BONGAIGAON,ASSAM",257.121,01-01-2025
February,2025,"IOCL-BONGAIGAON,ASSAM",235.646,01-02-2025
March,2025,"IOCL-BONGAIGAON,ASSAM",258.597,01-03-2025
April,2024,"IOCL-PARADIP,ODISHA",1093.706,01-04-2024
May,2024,"IOCL-PARADIP,ODISHA",1155.403,01-05-2024
June,2024,"IOCL-PARADIP,ODISHA",884.313,01-06-2024
July,2024,"IOCL-PARADIP,ODISHA",907.582,01-07-2024
August,2024,"IOCL-PARADIP,ODISHA",1230.418,01-08-2024
September,2024,"IOCL-PARADIP,ODISHA",1228.018,01-09-2024
October,2024,"IOCL-PARADIP,ODISHA",1272.95,01-10-2024
November,2024,"IOCL-PARADIP,ODISHA",1333.392,01-11-2024
December,2024,"IOCL-PARADIP,ODISHA",1403.143,01-12-2024
January,2025,"IOCL-PARADIP,ODISHA",1436.19,01-01-2025
February,2025,"IOCL-PARADIP,ODISHA",1296.51,01-02-2025
March,2025,"IOCL-PARADIP,ODISHA",1415.461,01-03-2025
April,2024,"CPCL-MANALI, TAMILNADU",867.121,01-04-2024
May,2024,"CPCL-MANALI, TAMILNADU",1032.677,01-05-2024
June,2024,"CPCL-MANALI, TAMILNADU",930.195,01-06-2024
July,2024,"CPCL-MANALI, TAMILNADU",879.993,01-07-2024
August,2024,"CPCL-MANALI, TAMILNADU",680.626,01-08-2024
September,2024,"CPCL-MANALI, TAMILNADU",537.828,01-09-2024
October,2024,"CPCL-MANALI, TAMILNADU",704.525,01-10-2024
November,2024,"CPCL-MANALI, TAMILNADU",901.681,01-11-2024
December,2024,"CPCL-MANALI, TAMILNADU",945.456,01-12-2024
January,2025,"CPCL-MANALI, TAMILNADU",1002.417,01-01-2025
February,2025,"CPCL-MANALI, TAMILNADU",950.914,01-02-2025
March,2025,"CPCL-MANALI, TAMILNADU",1020.279,01-03-2025
April,2024,"BPCL-MUMBAI, MAHARASHTRA",1357.767,01-04-2024
May,2024,"BPCL-MUMBAI, MAHARASHTRA",1284.3,01-05-2024
June,2024,"BPCL-MUMBAI, MAHARASHTRA",1120.857,01-06-2024
July,2024,"BPCL-MUMBAI, MAHARASHTRA",1364.286,01-07-2024
August,2024,"BPCL-MUMBAI, MAHARASHTRA",1360.384,01-08-2024
September,2024,"BPCL-MUMBAI, MAHARASHTRA",1354.522,01-09-2024
October,2024,"BPCL-MUMBAI, MAHARASHTRA",1418.942,01-10-2024
November,2024,"BPCL-MUMBAI, MAHARASHTRA",954.991,01-11-2024
December,2024,"BPCL-MUMBAI, MAHARASHTRA",1243.645,01-12-2024
January,2025,"BPCL-MUMBAI, MAHARASHTRA",1390.547,01-01-2025
February,2025,"BPCL-MUMBAI, MAHARASHTRA",1279.257,01-02-2025
March,2025,"BPCL-MUMBAI, MAHARASHTRA",1399.587,01-03-2025
April,2024,"BPCL-KOCHI, KERALA",1424.937,01-04-2024
May,2024,"BPCL-KOCHI, KERALA",1507.95,01-05-2024
June,2024,"BPCL-KOCHI, KERALA",1482.257,01-06-2024
July,2024,"BPCL-KOCHI, KERALA",1549.85,01-07-2024
August,2024,"BPCL-KOCHI, KERALA",1506.631,01-08-2024
September,2024,"BPCL-KOCHI, KERALA",1307.638,01-09-2024
October,2024,"BPCL-KOCHI, KERALA",989.324,01-10-2024
November,2024,"BPCL-KOCHI, KERALA",1355.684,01-11-2024
December,2024,"BPCL-KOCHI, KERALA",1567.14,01-12-2024
January,2025,"BPCL-KOCHI, KERALA",1522.876,01-01-2025
February,2025,"BPCL-KOCHI, KERALA",1421.84,01-02-2025
March,2025,"BPCL-KOCHI, KERALA",1556.995,01-03-2025
April,2024,BPCL-BINA,660.127,01-04-2024
May,2024,BPCL-BINA,661.463,01-05-2024
June,2024,BPCL-BINA,678.21,01-06-2024
July,2024,BPCL-BINA,685.058,01-07-2024
August,2024,BPCL-BINA,531.944,01-08-2024
September,2024,BPCL-BINA,489.353,01-09-2024
October,2024,BPCL-BINA,685.986,01-10-2024
November,2024,BPCL-BINA,661.831,01-11-2024
December,2024,BPCL-BINA,686.514,01-12-2024
January,2025,BPCL-BINA,687.712,01-01-2025
February,2025,BPCL-BINA,616.168,01-02-2025
March,2025,BPCL-BINA,664.49,01-03-2025
April,2024,"NRL-NUMALIGARH, ASSAM",241.344,01-04-2024
May,2024,"NRL-NUMALIGARH, ASSAM",276.873,01-05-2024
June,2024,"NRL-NUMALIGARH, ASSAM",245.901,01-06-2024
July,2024,"NRL-NUMALIGARH, ASSAM",217.673,01-07-2024
August,2024,"NRL-NUMALIGARH, ASSAM",216.238,01-08-2024
September,2024,"NRL-NUMALIGARH, ASSAM",249.505,01-09-2024
October,2024,"NRL-NUMALIGARH, ASSAM",272.034,01-10-2024
November,2024,"NRL-NUMALIGARH, ASSAM",261.053,01-11-2024
December,2024,"NRL-NUMALIGARH, ASSAM",275.396,01-12-2024
January,2025,"NRL-NUMALIGARH, ASSAM",287.596,01-01-2025
February,2025,"NRL-NUMALIGARH, ASSAM",248.822,01-02-2025
March,2025,"NRL-NUMALIGARH, ASSAM",273.156,01-03-2025
April,2024,"ONGC-TATIPAKA,ANDHRA PRADESH",4.973,01-04-2024
May,2024,"ONGC-TATIPAKA,ANDHRA PRADESH",6.03,01-05-2024
June,2024,"ONGC-TATIPAKA,ANDHRA PRADESH",5.984,01-06-2024
July,2024,"ONGC-TATIPAKA,ANDHRA PRADESH",5.984,01-07-2024
August,2024,"ONGC-TATIPAKA,ANDHRA PRADESH",6.145,01-08-2024
September,2024,"ONGC-TATIPAKA,ANDHRA PRADESH",5.83,01-09-2024
October,2024,"ONGC-TATIPAKA,ANDHRA PRADESH",6.119,01-10-2024
November,2024,"ONGC-TATIPAKA,ANDHRA PRADESH",7.416,01-11-2024
December,2024,"ONGC-TATIPAKA,ANDHRA PRADESH",7.695,01-12-2024
January,2025,"ONGC-TATIPAKA,ANDHRA PRADESH",7.014,01-01-2025
February,2025,"ONGC-TATIPAKA,ANDHRA PRADESH",5.232,01-02-2025
March,2025,"ONGC-TATIPAKA,ANDHRA PRADESH",5.339,01-03-2025
April,2024,"MRPL-MANGALORE,KARNATAKA",1312.156,01-04-2024
May,2024,"MRPL-MANGALORE,KARNATAKA",1593.248,01-05-2024
June,2024,"MRPL-MANGALORE,KARNATAKA",1474.345,01-06-2024
July,2024,"MRPL-MANGALORE,KARNATAKA",1478.138,01-07-2024
August,2024,"MRPL-MANGALORE,KARNATAKA",1496.513,01-08-2024
September,2024,"MRPL-MANGALORE,KARNATAKA",1464.168,01-09-2024
October,2024,"MRPL-MANGALORE,KARNATAKA",1486.107,01-10-2024
November,2024,"MRPL-MANGALORE,KARNATAKA",1506.848,01-11-2024
December,2024,"MRPL-MANGALORE,KARNATAKA",1548.437,01-12-2024
January,2025,"MRPL-MANGALORE,KARNATAKA",1576.56,01-01-2025
February,2025,"MRPL-MANGALORE,KARNATAKA",1461.209,01-02-2025
March,2025,"MRPL-MANGALORE,KARNATAKA",1645.852,01-03-2025
April,2024,"HPCL-MUMBAI,MAHARASHTRA",519.565,01-04-2024
May,2024,"HPCL-MUMBAI,MAHARASHTRA",816.26,01-05-2024
June,2024,"HPCL-MUMBAI,MAHARASHTRA",884.826,01-06-2024
July,2024,"HPCL-MUMBAI,MAHARASHTRA",865.328,01-07-2024
August,2024,"HPCL-MUMBAI,MAHARASHTRA",741.854,01-08-2024
September,2024,"HPCL-MUMBAI,MAHARASHTRA",868.497,01-09-2024
October,2024,"HPCL-MUMBAI,MAHARASHTRA",878.545,01-10-2024
November,2024,"HPCL-MUMBAI,MAHARASHTRA",878.423,01-11-2024
December,2024,"HPCL-MUMBAI,MAHARASHTRA",901.782,01-12-2024
January,2025,"HPCL-MUMBAI,MAHARASHTRA",883.284,01-01-2025
February,2025,"HPCL-MUMBAI,MAHARASHTRA",806.064,01-02-2025
March,2025,"HPCL-MUMBAI,MAHARASHTRA",913.37,01-03-2025
April,2024,"HPCL-VISAKH,ANDHRA PRADESH",900.041,01-04-2024
May,2024,"HPCL-VISAKH,ANDHRA PRADESH",1354.316,01-05-2024
June,2024,"HPCL-VISAKH,ANDHRA PRADESH",1290.21,01-06-2024
July,2024,"HPCL-VISAKH,ANDHRA PRADESH",1309.604,01-07-2024
August,2024,"HPCL-VISAKH,ANDHRA PRADESH",1252.005,01-08-2024
September,2024,"HPCL-VISAKH,ANDHRA PRADESH",1263.129,01-09-2024
October,2024,"HPCL-VISAKH,ANDHRA PRADESH",1184.658,01-10-2024
November,2024,"HPCL-VISAKH,ANDHRA PRADESH",1269.105,01-11-2024
December,2024,"HPCL-VISAKH,ANDHRA PRADESH",1357.318,01-12-2024
January,2025,"HPCL-VISAKH,ANDHRA PRADESH",1422.952,01-01-2025
February,2025,"HPCL-VISAKH,ANDHRA PRADESH",1308.33,01-02-2025
March,2025,"HPCL-VISAKH,ANDHRA PRADESH",1398.164,01-03-2025
April,2024,"HMEL-GGSR, BATHINDA, PUNJAB",1082.552,01-04-2024
May,2024,"HMEL-GGSR, BATHINDA, PUNJAB",1110.92,01-05-2024
June,2024,"HMEL-GGSR, BATHINDA, PUNJAB",1076.522,01-06-2024
July,2024,"HMEL-GGSR, BATHINDA, PUNJAB",1111.368,01-07-2024
August,2024,"HMEL-GGSR, BATHINDA, PUNJAB",1098.976,01-08-2024
September,2024,"HMEL-GGSR, BATHINDA, PUNJAB",1060.853,01-09-2024
October,2024,"HMEL-GGSR, BATHINDA, PUNJAB",1101.851,01-10-2024
November,2024,"HMEL-GGSR, BATHINDA, PUNJAB",1070.781,01-11-2024
December,2024,"HMEL-GGSR, BATHINDA, PUNJAB",1109.522,01-12-2024
January,2025,"HMEL-GGSR, BATHINDA, PUNJAB",1115.935,01-01-2025
February,2025,"HMEL-GGSR, BATHINDA, PUNJAB",999.695,01-02-2025
March,2025,"HMEL-GGSR, BATHINDA, PUNJAB",1105.832,01-03-2025
April,2024,"RIL,JAMNAGAR,GUJARAT",2884.811,01-04-2024
May,2024,"RIL,JAMNAGAR,GUJARAT",2932.696,01-05-2024
June,2024,"RIL,JAMNAGAR,GUJARAT",2832.078,01-06-2024
July,2024,"RIL,JAMNAGAR,GUJARAT",2985.825,01-07-2024
August,2024,"RIL,JAMNAGAR,GUJARAT",2921.463,01-08-2024
September,2024,"RIL,JAMNAGAR,GUJARAT",2936.463,01-09-2024
October,2024,"RIL,JAMNAGAR,GUJARAT",2842.8,01-10-2024
November,2024,"RIL,JAMNAGAR,GUJARAT",2846.426,01-11-2024
December,2024,"RIL,JAMNAGAR,GUJARAT",3058.752,01-12-2024
January,2025,"RIL,JAMNAGAR,GUJARAT",3031.682,01-01-2025
February,2025,"RIL,JAMNAGAR,GUJARAT",2763.145,01-02-2025
March,2025,"RIL,JAMNAGAR,GUJARAT",2954.352,01-03-2025
April,2024,"RIL-(SEZ), JAMNAGAR,GUJARAT",2516.437,01-04-2024
May,2024,"RIL-(SEZ), JAMNAGAR,GUJARAT",2657.398,01-05-2024
June,2024,"RIL-(SEZ), JAMNAGAR,GUJARAT",2627.245,01-06-2024
July,2024,"RIL-(SEZ), JAMNAGAR,GUJARAT",2512.471,01-07-2024
August,2024,"RIL-(SEZ), JAMNAGAR,GUJARAT",2478.928,01-08-2024
September,2024,"RIL-(SEZ), JAMNAGAR,GUJARAT",2697.429,01-09-2024
October,2024,"RIL-(SEZ), JAMNAGAR,GUJARAT",2586.732,01-10-2024
November,2024,"RIL-(SEZ), JAMNAGAR,GUJARAT",2390.533,01-11-2024
December,2024,"RIL-(SEZ), JAMNAGAR,GUJARAT",2723.828,01-12-2024
January,2025,"RIL-(SEZ), JAMNAGAR,GUJARAT",2577.879,01-01-2025
February,2025,"RIL-(SEZ), JAMNAGAR,GUJARAT",2555.692,01-02-2025
